GPK93_04g06400	hypothetical protein
GPK93_04g06410	ribosome production factor 2
GPK93_04g06420	WD40 domain-containing protein
GPK93_04g06430	SAC3/GANP family-like protein
GPK93_04g06440	hypothetical protein
GPK93_04g06450	1-acyl-Sn-glycerol-3-phosphate acyltransferase
GPK93_04g06460	Ski2 RNA helicase
GPK93_04g06470	RNA-binding domain-containing protein
GPK93_04g06480	ribosomal protein L32
GPK93_04g06490	hypothetical protein
GPK93_04g06500	ribosome biogenesis GTP-binding protein YsxC
GPK93_04g06510	hypothetical protein
GPK93_04g06520	hypothetical protein
GPK93_04g06530	ribosomal protein S10
GPK93_04g06540	hypothetical protein
GPK93_04g06550	periplasmic divalent cation tolerance protein
GPK93_04g06560	hypothetical protein
GPK93_04g06570	ribosomal protein L13A
GPK93_04g06580	YL1 C-terminal domain-containing protein
GPK93_04g06590	DNA-directed RNA polymerase I subunit RPA190
GPK93_04g06600	tRNA-Met
GPK93_04g06610	hypothetical protein
GPK93_04g06620	tRNA-Pro
GPK93_04g06630	hypothetical protein
GPK93_04g06640	elongin C
GPK93_04g06650	hypothetical protein
GPK93_04g06660	hypothetical protein
GPK93_04g06670	hypothetical protein
GPK93_04g06680	transcription factor
GPK93_04g06690	putative RNA polymerase III subunit RPC8
GPK93_04g06700	hypothetical protein
GPK93_04g06710	Na+/H+ antiporter
GPK93_04g06720	zinc finger domain-containing protein
GPK93_04g06730	hypothetical protein
GPK93_04g06740	chromatin-binding protein BJ1
GPK93_04g06750	methionyl-tRNA synthetase-like protein
GPK93_04g06760	hypothetical protein
GPK93_04g06770	GTP-binding protein YPT1
GPK93_04g06780	hypothetical protein
GPK93_04g06790	mRNA capping enzyme subunit beta
GPK93_04g06800	GTP-binding nuclear protein Ran
GPK93_04g06810	ap-2 complex subunit sigma-1
GPK93_04g06820	hypothetical protein
GPK93_04g06830	hypothetical protein
GPK93_04g06840	hypothetical protein
GPK93_04g06850	hypothetical protein
GPK93_04g06860	putative eukaryotic translation initiation factor 4 gamma
GPK93_04g06870	hypothetical protein
GPK93_04g06880	hypothetical protein
GPK93_04g06890	hypothetical protein
GPK93_04g06900	hypothetical protein
GPK93_04g06910	hypothetical protein
GPK93_04g06920	DUF2463 domain-containing protein
GPK93_04g06930	DUF2463 domain-containing protein
GPK93_04g06940	DUF2463 domain-containing protein
GPK93_04g06950	DUF2463 domain-containing protein
GPK93_04g06960	hypothetical protein
GPK93_04g06970	small subunit ribosomal RNA
GPK93_04g06980	large subunit ribosomal RNA
GPK93_05g06990	large subunit ribosomal RNA
GPK93_05g07000	small subunit ribosomal RNA
GPK93_05g07010	DUF2463 domain-containing protein
GPK93_05g07020	DUF2463 domain-containing protein
GPK93_05g07030	DUF1609 domain-containing protein
GPK93_05g07040	DUF2463 domain-containing protein
GPK93_05g07050	DUF1609 domain-containing protein
GPK93_05g07060	kinesin-like protein
GPK93_05g07070	patatin-like phospholipase
GPK93_05g07080	hypothetical protein
GPK93_05g07090	hypothetical protein
GPK93_05g07100	hypothetical protein
GPK93_05g07110	ARF GTP-binding ADP ribosylation factor
GPK93_05g07120	DUF5091 domain-containing protein
GPK93_05g07130	hypothetical protein
GPK93_05g07140	hypothetical protein
GPK93_05g07150	hypothetical protein
GPK93_05g07160	hypothetical protein
GPK93_05g07170	putative exportin
GPK93_05g07180	amino acid transporter
GPK93_05g07190	hypothetical protein
GPK93_05g07200	protein phosphatase inhibitor
GPK93_05g07210	WD40 domain-containing protein
GPK93_05g07220	zinc-ribbon-like protein
GPK93_05g07230	putative membrane protein
GPK93_05g07240	WD40 domain-containing protein
GPK93_05g07250	putative tetrapyrrole methylase
GPK93_05g07260	NADPH cytochrome P450 reductase
GPK93_05g07270	ribosomal protein S3A
GPK93_05g07280	phosphomannomutase
GPK93_05g07290	glycerol 3-phosphate dehydrogenase
GPK93_05g07300	DNA-directed RNA polymerase II subunit RPB11
GPK93_05g07310	deoxyuridine 5'triphosphate nucleotidohydrolase
GPK93_05g07320	proteasome type-4 subunit beta
GPK93_05g07330	DNA mismatch repair protein Mlh1
GPK93_05g07340	acetylcoenzyme A synthetase
GPK93_05g07350	phosphoglycerate kinase
GPK93_05g07360	DNA polymerase II subunit A
GPK93_05g07370	hypothetical protein
GPK93_05g07380	SANT/Myb-like DNA-binding domain-containing protein
GPK93_05g07390	peptide chain release factor subunit 1
GPK93_05g07400	PINS LGN-like protein
GPK93_05g07410	melanoma-associated antigen 3-like protein
GPK93_05g07420	cleavage and polyadenylation specificity factor
GPK93_05g07430	hypothetical protein
GPK93_05g07440	vacuolar ATP synthase subunit E
GPK93_05g07450	ribosome-interacting GTPase 1
GPK93_05g07460	hypothetical protein
GPK93_05g07470	hypothetical protein
GPK93_05g07480	hypothetical protein
GPK93_05g07490	serine/threonine protein phosphatase
GPK93_05g07500	histone-like transcription factor
GPK93_05g07510	exopolyphosphatase
GPK93_05g07520	hypothetical protein
GPK93_05g07530	acidic ribosomal protein P0-like protein
GPK93_05g07540	transportin-3
GPK93_05g07550	hypothetical protein
GPK93_05g07560	hypothetical protein
GPK93_05g07570	hypothetical protein
GPK93_05g07580	histone-fold protein
GPK93_05g07590	TATA-binding protein-associated factor 7
GPK93_05g07600	hypothetical protein
GPK93_05g07610	focal adhesion kinase
GPK93_05g07620	WD40 domain-containing protein
GPK93_05g07630	rRNA-processing protein Fcf1
GPK93_05g07640	ubiquitin thioesterase otubain-like protein
GPK93_05g07650	transmembrane amino acid transporter protein
GPK93_05g07660	hypothetical protein
GPK93_05g07670	tRNA-Leu
GPK93_05g07680	ribosomal protein L1
GPK93_05g07690	hypothetical protein
GPK93_05g07700	Ran GTPase activating protein
GPK93_05g07710	Ser/Thr protein kinase
GPK93_05g07720	hypothetical protein
GPK93_05g07730	glucose 6-phosphate isomerase
GPK93_05g07740	baculoviral inhibition of apoptosis protein repeat domain-containing protein
GPK93_05g07750	ribosomal protein S6
GPK93_05g07760	pseudouridylate synthase
GPK93_05g07770	putative membrane protein
GPK93_05g07780	gamma tubulin complex component N-terminal domain-containing protein
GPK93_05g07790	Rho GTPase activating protein
GPK93_05g07800	hypothetical protein
GPK93_05g07810	5-aminolevulinate synthase
GPK93_05g07820	WD40 domain-containing protein
GPK93_05g07830	hypothetical protein
GPK93_05g07840	sentrin/SUMO-specific protease SENP1
GPK93_05g07850	hypothetical protein
GPK93_05g07860	minichromosome maintenance protein
GPK93_05g07870	hypothetical protein
GPK93_05g07880	hypothetical protein
GPK93_05g07890	nucleolar GTP-binding protein
GPK93_05g07900	WD40 domain-containing protein
GPK93_05g07910	hypothetical protein
GPK93_05g07920	hypothetical protein
GPK93_05g07930	sorting nexin protein
GPK93_05g07940	hypothetical protein
GPK93_05g07950	6-phosphogluconate dehydrogenase
GPK93_05g07960	Ham1 nucleotide triphosphosphatase
GPK93_05g07970	hypothetical protein
GPK93_05g07980	tRNA-Thr
GPK93_05g07990	protein translocase subunit SecE
GPK93_05g08000	di-sulfide bridge nucleocytoplasmic transport domain-containing protein
GPK93_05g08010	ribosomal protein L21
GPK93_05g08020	small nuclear ribonucleoprotein G
GPK93_05g08030	ribosomal protein S9
GPK93_05g08040	phosphatidylinositol transfer protein
GPK93_05g08050	Ski2 RNA helicase
GPK93_05g08060	putative rRNA (guanine-N(7))-methyltransferase
GPK93_05g08070	hypothetical protein
GPK93_05g08080	iron hydrogenase
GPK93_05g08090	anaphase-promoting complex subunit 10
GPK93_05g08100	DNA polymerase alpha catalytic subunit
GPK93_05g08110	ADP-ribosylation factor
GPK93_05g08120	WD40 domain-containing protein
GPK93_05g08130	h/aca ribonucleoprotein complex subunit cbf5
GPK93_05g08140	proliferating cell nuclear antigen
GPK93_05g08150	hypothetical protein
GPK93_05g08160	protection of telomeres protein 1
GPK93_05g08170	RNA polymerase III subunit RPC9
GPK93_05g08180	RIO-like kinase
GPK93_05g08190	hypothetical protein
GPK93_05g08200	proteasome regulatory complex component
GPK93_05g08210	hypothetical protein
GPK93_05g08220	hypothetical protein
GPK93_05g08230	DNA helicase
GPK93_05g08240	tyrosyl-tRNA synthetase
GPK93_05g08250	mRNA cleavage and polyadenylation factor CLP1
GPK93_05g08260	AAA ATPase
GPK93_05g08270	DNA damage-binding protein
GPK93_05g08280	SGS domain-containing protein
GPK93_05g08290	hypothetical protein
GPK93_05g08300	putative reticulocyte binding protein
GPK93_05g08310	HAD hydrolase
GPK93_05g08320	TB2/DP1-like protein
GPK93_05g08330	hypothetical protein
GPK93_05g08340	ATP-binding cassette sub-family F protein
GPK93_05g08350	hypothetical protein
GPK93_05g08360	DNA primase large subunit
GPK93_05g08370	hypothetical protein
GPK93_05g08380	pre-mRNA splicing factor BUD31
GPK93_05g08390	gamma-glutamyltransferase
GPK93_05g08400	ubiquitin carboxyl-terminal hydrolase
GPK93_05g08410	phosphatidate cytidylyltransferase
GPK93_05g08420	putative non-hemolytic Nhe-like enterotoxin
GPK93_05g08430	DEAD box RNA helicase
GPK93_05g08440	hypothetical protein
GPK93_05g08450	DNA repair protein Mre11
GPK93_05g08460	hypothetical protein
GPK93_05g08470	hypothetical protein
GPK93_05g08480	U6 snRNA-associated small Sm-like ribonucleoprotein
GPK93_05g08490	U3 small nucleolar ribonucleoprotein IMP3
GPK93_05g08500	zinc-finger domain-containing protein
GPK93_05g08510	proteasome sububit alpha
GPK93_05g08520	PUA domain-containing protein
GPK93_05g08530	5S ribosomal RNA
GPK93_05g08540	initiation factor E2B subunit epsilon
GPK93_05g08550	zinc metalloprotease
GPK93_05g08560	glutaredoxin-like protein
GPK93_05g08570	caax prenyl protease-like protein
GPK93_05g08580	proteasome subunit alpha type-5
GPK93_05g08590	hypothetical protein
GPK93_05g08600	putative thioredoxin-interacting protein
GPK93_05g08610	protein tyrosine phosphatase-like protein
GPK93_05g08620	RRM domain-containing protein
GPK93_05g08630	hypothetical protein
GPK93_05g08640	D-alanyl-lipoteichoic ACID biosynthesis protein DLTB
GPK93_05g08650	hypothetical protein
GPK93_05g08660	hypothetical protein
GPK93_05g08670	ribosomal protein L30
GPK93_05g08680	ubiquitin-like protein
GPK93_05g08690	U3 small nucleolar RNA-associated protein 7
GPK93_05g08700	cAMP-dependent Ser/Thr protein kinase subunit alpha
GPK93_05g08710	acylcoenzyme A thioesterase II
GPK93_05g08720	DNA replication factor C subunit
GPK93_05g08730	proteasome non-atpase regulatory subunit 3
GPK93_05g08740	putative PhoU-like phosphate regulatory protein
GPK93_05g08750	phosphomannomutase
GPK93_05g08760	DUF3654 domain-containing protein
GPK93_05g08770	DUF1609 domain-containing protein
GPK93_05g08780	DUF2463 domain-containing protein
GPK93_05g08790	DUF2463 domain-containing protein
GPK93_05g08800	hypothetical protein
GPK93_05g08810	small subunit ribosomal RNA
GPK93_05g08820	large subunit ribosomal RNA
GPK93_06g08830	large subunit ribosomal RNA
GPK93_06g08840	small subunit ribosomal RNA
GPK93_06g08850	hypothetical protein
GPK93_06g08860	DUF2463 domain-containing protein
GPK93_06g08870	DUF2463 domain-containing protein
GPK93_06g08880	hypothetical protein
GPK93_06g08890	transketolase
GPK93_06g08900	Ring finger domain-containing protein
GPK93_06g08910	WD40 domain-containing protein
GPK93_06g08920	cell division cycle protein 16-like protein
GPK93_06g08930	hypothetical protein
GPK93_06g08940	hypothetical protein
GPK93_06g08950	hypothetical protein
GPK93_06g08960	pumilio-like protein
GPK93_06g08970	hypothetical protein
GPK93_06g08980	RidL-like interaptin
GPK93_06g08990	hypothetical protein
GPK93_06g09000	vacuolar ATP synthase proteolipid subunit Ppa1
GPK93_06g09010	Rad3 DNA repair helicase
GPK93_06g09020	translation initiation factor IF2 subunit beta
GPK93_06g09030	cullin-associated NEDD8-dissociated protein
GPK93_06g09040	RRM domain-containing protein
GPK93_06g09050	polar tube protein Ptp2
GPK93_06g09060	hypothetical protein
GPK93_06g09070	transcription factor Dp
GPK93_06g09080	trafficking protein particle complex subunit
GPK93_06g09090	leucyl-tRNA synthetase
GPK93_06g09100	hypothetical protein
GPK93_06g09110	zinc finger domain-containing protein
GPK93_06g09120	ABC transporter
GPK93_06g09130	hypothetical protein
GPK93_06g09140	tRNA-guanine family transglycosylase
GPK93_06g09150	DNA-directed RNA polymerase II subunit
GPK93_06g09160	peptidyl-prolyl cis-trans isomerase
GPK93_06g09170	DNA replication licensing factor mcm5
GPK93_06g09180	transcription initiation factor TFIIE subunit beta domain-containing protein
GPK93_06g09190	OB-fold nucleic acid binding domain-containing protein
GPK93_06g09200	WD40 domain-containing protein
GPK93_06g09210	metallopeptidase
GPK93_06g09220	exosome complex component RRP42
GPK93_06g09230	Kae1-associated kinase Bud32
GPK93_06g09240	tRNA-Gly
GPK93_06g09250	CAP-Gly domain-containing protein
GPK93_06g09260	hypothetical protein
GPK93_06g09270	ribosome biogenesis protein Bms1
GPK93_06g09280	dUTPase
GPK93_06g09290	hypothetical protein
GPK93_06g09300	ribonuclease Z
GPK93_06g09310	WD40 domain-containing protein
GPK93_06g09320	N-terminal acyltransferase complex subunit Ard1
GPK93_06g09330	nuclear pore complex protein
GPK93_06g09340	translocase of outer mitochondrial membrane 40-like protein
GPK93_06g09350	mevalonate pyrophosphate decarboxylase
GPK93_06g09360	homeobox protein HD-3
GPK93_06g09370	T-complex protein subunit
GPK93_06g09380	hypothetical protein
GPK93_06g09390	tubby-like protein
GPK93_06g09400	hypothetical protein
GPK93_06g09410	hypothetical protein
GPK93_06g09420	hypothetical protein
GPK93_06g09430	hypothetical protein
GPK93_06g09440	hypothetical protein
GPK93_06g09450	membrane protein
GPK93_06g09460	hypothetical protein
GPK93_06g09470	hypothetical protein
GPK93_06g09480	DNA-directed RNA polymerase II subunit RPB3
GPK93_06g09490	hypothetical protein
GPK93_06g09500	N6 adenine specific DNA methylase
GPK93_06g09510	histidyl-tRNA synthetase
GPK93_06g09520	hypothetical protein
GPK93_06g09530	hypothetical protein
GPK93_06g09540	adenylate kinase
GPK93_06g09550	hypothetical protein
GPK93_06g09560	putative PH domain-containing protein
GPK93_06g09570	DUF5094 domain-containing protein
GPK93_06g09580	hypothetical protein
GPK93_06g09590	hypothetical protein
GPK93_06g09600	serine/threonine-protein phosphatase 2A activator 2
GPK93_06g09610	ribonucleoside-diphosphate reductase small subunit
GPK93_06g09620	hypothetical protein
GPK93_06g09630	hypothetical protein
GPK93_06g09640	secreted/periplasmic Zn-dependent insulinase-like peptidase
GPK93_06g09650	hypothetical protein
GPK93_06g09660	AP-3 complex subunit beta
GPK93_06g09680	symplekin
GPK93_06g09690	aspartyl-tRNA synthetase
GPK93_06g09700	hypothetical protein
GPK93_06g09710	hypothetical protein
GPK93_06g09720	Rad54-like protein
GPK93_06g09730	vacuolar membrane proton pump
GPK93_06g09740	CTD phosphatase SSU72
GPK93_06g09750	hypothetical protein
GPK93_06g09760	hypothetical protein
GPK93_06g09770	preprotein translocase subunit Sec63
GPK93_06g09780	cullin
GPK93_06g09790	Lmo0651-like protein
GPK93_06g09800	ribosomal protein L5
GPK93_06g09810	tRNA-Trp
GPK93_06g09820	ubiquitin carboxyl-terminal hydrolase
GPK93_06g09830	U5 small nuclear ribonucleoprotein helicase
GPK93_06g09840	HAD ATPase
GPK93_06g09850	acetyl-CoA C-acyltransferase
GPK93_06g09860	dolichyl-phosphate-mannose protein O-mannosyltransferase-like protein
GPK93_06g09870	ATP pyrophosphate-lyase
GPK93_06g09880	hypothetical protein
GPK93_06g09890	hypothetical protein
GPK93_06g09900	T complex subunit beta
GPK93_06g09910	N-alpha-acetyltransferase
GPK93_06g09920	hypothetical protein
GPK93_06g09930	SANT/myb-like domain-containing protein
GPK93_06g09940	RNA 3'-terminal phosphate cyclase-like protein
GPK93_06g09950	D-ribulose-phosphate 3 epimerase
GPK93_06g09960	hypothetical protein
GPK93_06g09970	hypothetical protein
GPK93_06g09980	hypothetical protein
GPK93_06g09990	ribosomal protein L19
GPK93_06g10000	FAD-linked sulfhydryl oxidase Alr
GPK93_06g10010	transcription initiation factor TFIIB
GPK93_06g10020	ribosomal protein S13
GPK93_06g10030	ribosomal protein L36
GPK93_06g10040	transportin
GPK93_06g10050	hypothetical protein
GPK93_06g10060	small nuclear ribonucleoprotein SmD1
GPK93_06g10070	hypothetical protein
GPK93_06g10080	hypothetical protein
GPK93_06g10090	hypothetical protein
GPK93_06g10100	hypothetical protein
GPK93_06g10110	GTP-binding protein YchF
GPK93_06g10120	SAP domain-containing protein
GPK93_06g10130	hypothetical protein
GPK93_06g10140	ribosomal protein L14-like protein
GPK93_06g10150	hypothetical protein
GPK93_06g10160	RNA polymerase-associated protein CTR9
GPK93_06g10170	pseudouridylate synthase 7-like protein
GPK93_06g10180	hypothetical protein
GPK93_06g10190	DEAD box RNA helicase
GPK93_06g10200	tRNA-Arg
GPK93_06g10210	hypothetical protein
GPK93_06g10220	high mobility group protein
GPK93_06g10230	vesicular transport protein SEC17
GPK93_06g10240	triose-phosphate transporter
GPK93_06g10260	GPN-loop GTPase 2
GPK93_06g10280	RING-CH-type domain-containing protein
GPK93_06g10290	hypothetical protein
GPK93_06g10300	diphthamide synthase subunit DPH2
GPK93_06g10310	hypothetical protein
GPK93_06g10320	profilin-like protein
GPK93_06g10330	exodeoxyribonuclease
GPK93_06g10340	hypothetical protein
GPK93_06g10350	ferritin
GPK93_06g10360	nuclear export mediator factor NEMF-like protein
GPK93_06g10370	hypothetical protein
GPK93_06g10380	hypothetical protein
GPK93_06g10390	GINS complex protein
GPK93_06g10400	vacuolar transporter chaperone 4
GPK93_06g10410	hypothetical protein
GPK93_06g10420	cell division control Cdc23-like protein
GPK93_06g10430	translation elongation factor EF-1 alpha
GPK93_06g10440	ribosomal protein S26
GPK93_06g10450	Cdc50-like protein
GPK93_06g10460	syntaxin-binding protein
GPK93_06g10470	KH domain-containing protein
GPK93_06g10480	amino acid transporter
GPK93_06g10490	deoxyhypusine hydroxylase
GPK93_06g10500	adiponectin receptor
GPK93_06g10510	transcriptional regulation complex subunit NOT5
GPK93_06g10520	poly(A) RNA polymerase
GPK93_06g10530	nucleoside diphosphatase kinase
GPK93_06g10540	hypothetical protein
GPK93_06g10550	WD40 domain-containing protein
GPK93_06g10560	acylamino-acid-releasing enzyme
GPK93_06g10570	ER lumen protein retaining KDEL receptor 2
GPK93_06g10580	tRNA-Gln
GPK93_06g10590	putative signal peptidase-like protein
GPK93_06g10600	hypothetical protein
GPK93_06g10610	hypothetical protein
GPK93_06g10620	DUF3654 domain-containing protein
GPK93_06g10630	DUF1609 domain-containing protein
GPK93_06g10640	AAA domain-containing protein
GPK93_06g10650	DUF1686 domain-containing protein
GPK93_06g10660	DUF1609 domain-containing protein
GPK93_06g10670	nucleotide cyclase
GPK93_06g10680	DUF2463 domain-containing protein
GPK93_06g10690	small subunit ribosomal RNA
GPK93_06g10700	large subunit ribosomal RNA
GPK93_07g10710	large subunit ribosomal RNA
GPK93_07g10720	small subunit ribosomal RNA
GPK93_07g10730	DUF2463 domain-containing protein
GPK93_07g10740	DUF2463 domain-containing protein
GPK93_07g10750	DUF1609 domain-containing protein
GPK93_07g10760	U3 small nucleolar RNA-associated protein 6
GPK93_07g10770	DNA-directed RNA polymerase III subunit RPC1
GPK93_07g10780	putative GTP cyclohydrolase
GPK93_07g10790	acidic ribosomal protein P2
GPK93_07g10800	hypothetical protein
GPK93_07g10810	anti-silencing protein 1
GPK93_07g10820	hypothetical protein
GPK93_07g10830	hypothetical protein
GPK93_07g10840	DNA 3'-phosphatase
GPK93_07g10850	hypothetical protein
GPK93_07g10860	acid phosphatase
GPK93_07g10870	proteasome regulatory subunit
GPK93_07g10880	DUF5088 domain-containing protein
GPK93_07g10890	RRM Nup35-type domain-containing protein
GPK93_07g10900	transcription initiation factor TFIIE subunit alpha
GPK93_07g10910	importin
GPK93_07g10920	tRNA-Gln
GPK93_07g10930	hypothetical protein
GPK93_07g10940	gluconate transport-inducing protein
GPK93_07g10950	hypothetical protein
GPK93_07g10960	ras-specific guanine nucleotide-releasing factor
GPK93_07g10970	hypothetical protein
GPK93_07g10980	hypothetical protein
GPK93_07g10990	PHO85 cyclin PHO80
GPK93_07g11000	transportin
GPK93_07g11010	methyltransferase
GPK93_07g11020	zinc finger domain-containing protein
GPK93_07g11030	RRM domain-containing protein
GPK93_07g11040	separase
GPK93_07g11050	UPF0235 protein YggU
GPK93_07g11060	ser/thr protein kinase
GPK93_07g11070	golgi phosphoprotein 3
GPK93_07g11080	RNA exonuclease
GPK93_07g11090	structural maintenance of chromosomes protein
GPK93_07g11100	hypothetical protein
GPK93_07g11110	ubiquitin carboxyl terminal hydrolase
GPK93_07g11120	hypothetical protein
GPK93_07g11130	hypothetical protein
GPK93_07g11140	oligonucleotide/oligosaccharide-binding domain-containing protein
GPK93_07g11150	calcium-dependent ion channel protein
GPK93_07g11160	hypothetical protein
GPK93_07g11170	box C/D snornp and U4 snrnp component SNU13P
GPK93_07g11180	DUF5100 domain-containing protein
GPK93_07g11190	hypothetical protein
GPK93_07g11200	minichromosome maintenance protein
GPK93_07g11210	DUF5090 domain-containing protein
GPK93_07g11220	hypothetical protein
GPK93_07g11230	cGMP-depenedent protein kinase
GPK93_07g11240	hypothetical protein
GPK93_07g11250	GPN-loop GTPase 3
GPK93_07g11260	hypothetical protein
GPK93_07g11270	sterolin
GPK93_07g11280	hypothetical protein
GPK93_07g11290	hypothetical protein
GPK93_07g11300	proteasome regulatory complex component
GPK93_07g11310	adrenodoxin
GPK93_07g11320	DNA repair protein RAD50
GPK93_07g11330	hypothetical protein
GPK93_07g11340	actin-like protein
GPK93_07g11350	hypothetical protein
GPK93_07g11360	putative transmembrane protein
GPK93_07g11370	ubiquitin-like protein SMT3
GPK93_07g11380	hypothetical protein
GPK93_07g11400	structural maintenance of chromosomes protein
GPK93_07g11410	prolyl 3-hydroxylase OGFOD1
GPK93_07g11420	translocase subunit Sec62
GPK93_07g11430	hypothetical protein
GPK93_07g11440	mediator of RNA polymerase II transcription subunit 18
GPK93_07g11450	hypothetical protein
GPK93_07g11460	aquaporin
GPK93_07g11470	histone-binding protein RBBP4
GPK93_07g11480	DnaJ-class molecular chaperone
GPK93_07g11490	NPL4 nuclear pore protein
GPK93_07g11500	DnaJ domain-containing protein
GPK93_07g11510	exocyst complex component Sec3
GPK93_07g11520	glyceraldehyde-3-phosphate dehydrogenase
GPK93_07g11530	hypothetical protein
GPK93_07g11540	ribosomal protein L10
GPK93_07g11550	pre-mRNA splicing helicase
GPK93_07g11560	RNA polymerase
GPK93_07g11570	hypothetical protein
GPK93_07g11580	cullin-like protein
GPK93_07g11590	hypothetical protein
GPK93_07g11600	hypothetical protein
GPK93_07g11610	hypothetical protein
GPK93_07g11620	transcription factor Tfb4
GPK93_07g11630	tRNA-Leu
GPK93_07g11640	Fcp1-like phosphatase
GPK93_07g11650	hydrolase
GPK93_07g11660	hypothetical protein
GPK93_07g11670	DNA phosphodiesterase
GPK93_07g11680	ribosome biogenesis protein RLP24
GPK93_07g11690	TLD domain-containing protein
GPK93_07g11700	hypothetical protein
GPK93_07g11710	DNA-directed RNA polymerase I
GPK93_07g11720	hypothetical protein
GPK93_07g11730	hypothetical protein
GPK93_07g11740	diphthamide synthase subunit DPH2
GPK93_07g11750	hypothetical protein
GPK93_07g11760	hypothetical protein
GPK93_07g11770	hypothetical protein
GPK93_07g11780	ribosomal protein L43
GPK93_07g11790	hypothetical protein
GPK93_07g11800	FACT complex subunit SSRP1-like protein
GPK93_07g11810	WD40 domain-containing protein
GPK93_07g11820	hypothetical protein
GPK93_07g11830	proteasome subunit alpha type-7
GPK93_07g11840	NAD kinase
GPK93_07g11850	RNA helicase
GPK93_07g11860	hypothetical protein
GPK93_07g11870	hypothetical protein
GPK93_07g11880	hypothetical protein
GPK93_07g11890	hexose transporter
GPK93_07g11900	hypothetical protein
GPK93_07g11910	hypothetical protein
GPK93_07g11920	hypothetical protein
GPK93_07g11930	DNA helicase
GPK93_07g11940	DUF3449 domain-containing protein
GPK93_07g11950	hypothetical protein
GPK93_07g11960	hypothetical protein
GPK93_07g11970	tRNA-dihydrouridine synthase
GPK93_07g11980	hypothetical protein
GPK93_07g11990	alpha-tubulin
GPK93_07g12000	hypothetical protein
GPK93_07g12010	hypothetical protein
GPK93_07g12020	formin-like protein
GPK93_07g12030	caltractin
GPK93_07g12040	hypothetical protein
GPK93_07g12050	hypothetical protein
GPK93_07g12060	nod factor binding lectin-nucleotide phosphohydrolase
GPK93_07g12070	glycogen synthase kinase
GPK93_07g12080	glucosamine fructose-6-phosphate aminotransferase
GPK93_07g12090	DNA repair protein Rad1
GPK93_07g12100	hypothetical protein
GPK93_07g12110	kinetochore protein MIS18
GPK93_07g12120	sporulation protein RMD1
GPK93_07g12130	eukaryotic translation initiation factor 5
GPK93_07g12140	rRNA methyl-transferase E
GPK93_07g12150	hypothetical protein
GPK93_07g12160	hypothetical protein
GPK93_07g12170	RRM domain-containing protein
GPK93_07g12180	elongin-B
GPK93_07g12190	ring-box protein 2
GPK93_07g12200	ribosomal protein L22/L17e
GPK93_07g12210	proteasome subunit beta type-6
GPK93_07g12220	hypothetical protein
GPK93_07g12230	dopey-like protein
GPK93_07g12240	vesicle trafficking protein Sec22B
GPK93_07g12250	ribosomal protein L37
GPK93_07g12260	hypothetical protein
GPK93_07g12270	tRNA-Arg
GPK93_07g12280	heterodimeric restriction endonuclease R.BSPD6I small subunit
GPK93_07g12290	tRNA-Lys
GPK93_07g12300	hypothetical protein
GPK93_07g12310	5S ribosomal RNA
GPK93_07g12320	HAD ATPase
GPK93_07g12330	hypothetical protein
GPK93_07g12340	tRNA-Ala
GPK93_07g12350	hypothetical protein
GPK93_07g12360	hypothetical protein
GPK93_07g12370	putative geranyltransferase
GPK93_07g12380	threonyl-tRNA synthetase
GPK93_07g12390	hypothetical protein
GPK93_07g12400	hypothetical protein
GPK93_07g12410	hypothetical protein
GPK93_07g12420	tRNA-dihydrouridine synthase
GPK93_07g12430	hypothetical protein
GPK93_07g12440	mRNA decapping enzyme 2
GPK93_07g12450	proteasome subunit P45
GPK93_07g12460	hypothetical protein
GPK93_07g12470	Hpop4-like protein
GPK93_07g12480	hypothetical protein
GPK93_07g12490	phenylalanyl-tRNA synthetase subunit alpha
GPK93_07g12500	DNA damage-binding protein 1
GPK93_07g12510	N-alpha-acetyltransferase
GPK93_07g12520	SH2 domain-containing protein
GPK93_07g12530	ribosomal protein S2
GPK93_07g12540	vacuolar protein sorting-associated protein 9
GPK93_07g12550	hypothetical protein
GPK93_07g12560	hypothetical protein
GPK93_07g12570	MADS domain-containing protein
GPK93_07g12580	DNA-directed RNA polymerase II subunit
GPK93_07g12590	glucosamine phosphate N-acetyltransferase
GPK93_07g12600	hypothetical protein
GPK93_07g12610	hypothetical protein
GPK93_07g12620	GINS complex subunit 4
GPK93_07g12630	single-stranded DNA specific exonuclease
GPK93_07g12640	hypothetical protein
GPK93_07g12650	DUF1686 domain-containing protein
GPK93_07g12660	hypothetical protein
GPK93_07g12670	hypothetical protein
GPK93_07g12680	hypothetical protein
GPK93_07g12690	ribosomal protein L29
GPK93_07g12700	LSM domain-containing protein
GPK93_07g12710	repressor of RNA polymerase III transcription protein
GPK93_07g12720	hypothetical protein
GPK93_07g12730	DUF2463 domain-containing protein
GPK93_07g12740	hypothetical protein
GPK93_07g12750	DUF1609 domain-containing protein
GPK93_07g12760	DUF2463 domain-containing protein
GPK93_07g12770	hypothetical protein
GPK93_07g12780	small subunit ribosomal RNA
GPK93_07g12790	large subunit ribosomal RNA
GPK93_08g12800	large subunit ribosomal RNA
GPK93_08g12810	small subunit ribosomal RNA
GPK93_08g12820	hypothetical protein
GPK93_08g12830	DUF2463 domain-containing protein
GPK93_08g12840	DUF2463 domain-containing protein
GPK93_08g12850	DUF1609 domain-containing protein
