AEWD_010010	serine hydroxymethyltransferase
CWI41_051990	putative nucleotidyl transferase
CWI41_052000	putative Zn-dependent protease
CWI41_052010	glutaredoxin domain-containing protein
CWI41_052020	peptidase M48 domain-containing protein
CWI41_052030	putative alpha subunit of proteasome
CWI41_052040	hypothetical protein
CWI41_052050	hypothetical protein
CWI41_052060	hypothetical protein
CWI41_052070	hypothetical protein
CWI41_052080	hypothetical protein
CWI41_052090	hypothetical protein
CWI41_052100	hypothetical protein
CWI41_052110	hypothetical protein
CWI41_052120	ribosomal protein L30E
CWI41_052130	hypothetical protein
CWI41_052140	hypothetical protein
CWI41_052150	protein kinase domain-containing protein
CWI41_052160	acyl-CoA thioesterase domain-containing protein
CWI41_052170	DNA replication factor RFC1
CWI41_060010	hypothetical protein
CWI41_060020	hypothetical protein
CWI41_060030	hypothetical protein
CWI41_060040	hypothetical protein
CWI41_060050	hypothetical protein
CWI41_060060	hypothetical protein
CWI41_060070	hypothetical protein
CWI41_060080	transketolase
CWI41_060090	hypothetical protein
CWI41_060100	hypothetical protein
CWI41_060110	hypothetical protein
CWI41_060120	hypothetical protein
CWI41_060130	hypothetical protein
CWI41_060140	hypothetical protein
CWI41_060150	hypothetical protein
CWI41_060160	hypothetical protein
CWI41_060170	hypothetical protein
CWI41_060180	hypothetical protein
CWI41_060190	putative ATPase
CWI41_060200	Rad3-like DNA repair helicase
CWI41_060210	subunit beta of translation initiation factor 2
CWI41_060220	beta-tubulin folding cofactor D
CWI41_060230	hypothetical protein
CWI41_060240	polar tube protein 2
CWI41_060250	polar tube protein 1
CWI41_060260	putative E2F transcription factor
CWI41_060270	subunit of transport protein particle complex
CWI41_060280	leucyl-tRNA synthetase
CWI41_060290	hypothetical protein
CWI41_060300	hypothetical protein
CWI41_060310	queuine tRNA-ribosyltransferase
CWI41_060320	RNA polymerases N
CWI41_060330	PPIase/rotamase
CWI41_060340	minichromosome maintenance protein
CWI41_060350	subunit of transcription initiation factor IIE
CWI41_060360	single-stranded DNA-binding replication protein
CWI41_060370	hypothetical protein
CWI41_060380	hypothetical protein
CWI41_060390	RNase PH-like exoribonuclease
CWI41_060400	Mn2+-dependent serine/threonine protein kinase
CWI41_060420	subunit of dynactin complex
CWI41_060430	hypothetical protein
CWI41_060440	ribosome biogenesis GTP-binding protein
CWI41_060450	dUTPase
CWI41_060460	hypothetical protein
CWI41_060470	hypothetical protein
CWI41_060480	N-acetyltransferase
CWI41_060490	subunit of nuclear pore complex
CWI41_060500	Tom40-like porin
CWI41_060510	subunit zeta of T-complex protein 1
CWI41_060520	hypothetical protein
CWI41_060530	Tub-like protein
CWI41_060540	TPR repeat-containing protein
CWI41_060550	hypothetical protein
CWI41_060560	hypothetical protein
CWI41_060570	hypothetical protein
CWI41_060580	hypothetical protein
CWI41_060590	hypothetical protein
CWI41_060600	subunit RPB3 of DNA-directed RNA polymerase II
CWI41_060610	putative HemK-like methylase
CWI41_060620	histidyl-tRNA synthetase
CWI41_060630	hypothetical protein
CWI41_060640	adenylate kinase
CWI41_060650	hypothetical protein
CWI41_060660	hypothetical protein
CWI41_060670	hypothetical protein
CWI41_060680	hypothetical protein
CWI41_060690	hypothetical protein
CWI41_060700	phosphotyrosyl phosphatase activator
CWI41_060710	ribonucleoside-diphosphate reductase
CWI41_060720	hypothetical protein
CWI41_060730	subunit of vesicle coat complex
CWI41_060750	symplekin domain-containing protein
CWI41_060760	aspartyl-tRNA synthetase
CWI41_060770	hypothetical protein
CWI41_060780	hypothetical protein
CWI41_060790	Snf2/Rad54-like helicase
CWI41_060800	mRNA turnover and stability protein
CWI41_060810	subunit A of RNA polymerase II
CWI41_060820	hypothetical protein
CWI41_060830	hypothetical protein
CWI41_060840	subunit Sec63 of preprotein translocase
CWI41_060850	hypothetical protein
CWI41_060860	hypothetical protein
CWI41_060870	ribosomal protein L5
CWI41_060890	ubiquitin C-terminal hydrolase
CWI41_060900	pre-mRNA splicing helicase
CWI41_060910	P-type ATPase
CWI41_060920	hypothetical protein
CWI41_060930	hypothetical protein
CWI41_060940	hypothetical protein
CWI41_060950	hypothetical protein
CWI41_060960	subunit epsilon of t-complex protein 1
CWI41_060970	hypothetical protein
CWI41_070020	hypothetical protein
CWI41_070030	hypothetical protein
CWI41_070040	hypothetical protein
CWI41_070050	Myb-like transcription factor
CWI41_070060	RNA 3'-terminal phosphate cyclase
CWI41_070070	ribulose-5-phosphate 3-epimerase
CWI41_070080	zinc finger domain-containing protein
CWI41_070090	ribosomal protein L19
CWI41_070100	mitochondrial sulfhydryl oxidase
CWI41_070110	subunit of transcription initiation factor TFIIIB
CWI41_070120	ribosomal protein S18
CWI41_070130	ribosomal protein L36
CWI41_070140	hypothetical protein
CWI41_070150	hypothetical protein
CWI41_070160	small nuclear ribonucleoprotein
CWI41_070170	hypothetical protein
CWI41_070180	hypothetical protein
CWI41_070190	hypothetical protein
CWI41_070200	GTP-dependent nucleic acid-binding protein EngD
CWI41_070210	hypothetical protein
CWI41_070220	hypothetical protein
CWI41_070230	hypothetical protein
CWI41_070240	hypothetical protein
CWI41_070250	hypothetical protein
CWI41_070260	TruD-like pseudouridine synthase
CWI41_070270	hypothetical protein
CWI41_070280	ATP-dependent RNA helicase
CWI41_070300	hypothetical protein
CWI41_070310	HMG domain-containing chromatin-associated
CWI41_070320	hypothetical protein
CWI41_070330	hypothetical protein
CWI41_070340	ATP-binding protein
CWI41_070360	ATP-binding protein
CWI41_070370	ATP-binding protein
CWI41_070380	subunit DPH2 of diphthamide synthase
CWI41_070390	hypothetical protein
CWI41_070400	hypothetical protein
CWI41_070410	hypothetical protein
CWI41_070420	hypothetical protein
CWI41_070430	ferritin
CWI41_070440	hypothetical protein
CWI41_070450	hypothetical protein
CWI41_070460	hypothetical protein
CWI41_070470	SPX domain-containing vacuolar polyphosphate protein
CWI41_070480	hypothetical protein
CWI41_070490	translation elongation factor EF-1 alpha
CWI41_070500	ribosomal protein S26
CWI41_070510	Cdc50-like protein
CWI41_070520	Sec1-like vacuolar protein sorting-associated protein
CWI41_070530	hypothetical protein
CWI41_070540	L-type amino acid transporter
CWI41_070550	hypothetical protein
CWI41_070560	putative hemolysin III-like integral membrane protein
CWI41_070570	CCR4-NOT transcriptional regulation complex protein
CWI41_070580	DNA polymerase sigma
CWI41_070590	nucleoside diphosphate kinase
CWI41_070600	hypothetical protein
CWI41_070610	hypothetical protein
CWI41_070620	hypothetical protein
CWI41_070630	ER lumen protein retaining receptor
CWI41_070650	Psp1-like protein
CWI41_070660	hypothetical protein
CWI41_070670	hypothetical protein
CWI41_070680	hypothetical protein
CWI41_070690	hypothetical protein
CWI41_070700	hypothetical protein
CWI41_080020	hypothetical protein
CWI41_080030	hypothetical protein
CWI41_080040	subunit beta' of DNA-directed RNA polymerase
CWI41_080050	NGG1p interacting factor 3-like protein
CWI41_080060	acidic ribosomal protein P2
CWI41_080070	hypothetical protein
CWI41_080080	histone chaperone
CWI41_080090	hypothetical protein
CWI41_080100	hypothetical protein
CWI41_080110	histidine acid phosphatase
CWI41_080120	regulatory subunit of ATP-dependent 26S proteasome
CWI41_080130	hypothetical protein
CWI41_080140	subunit of transcription initiation factor IIE
CWI41_080150	hypothetical protein
CWI41_080170	mitochondrial import inner membrane translocase
CWI41_080180	hypothetical protein
CWI41_080190	hypothetical protein
CWI41_080200	hypothetical protein
CWI41_080210	hypothetical protein
CWI41_080220	hypothetical protein
CWI41_080230	tRNA/rRNA cytosine-C5-methylase
CWI41_080240	RING-finger domain-containing ubiquitin ligase
CWI41_080250	U2 snRNP/pre-mRNA association factor
CWI41_080260	separase
CWI41_080270	hypothetical protein
CWI41_080280	serine/threonine protein kinase
CWI41_080290	hypothetical protein
CWI41_080300	RNA exonuclease
CWI41_080310	chromosome segregation ATPase
CWI41_080320	hypothetical protein
CWI41_080330	ubiquitin carboxyl-terminal hydrolase
CWI41_080340	hypothetical protein
CWI41_080350	hypothetical protein
CWI41_080360	hypothetical protein
CWI41_080370	hypothetical protein
CWI41_080380	hypothetical protein
CWI41_080390	ribosomal protein L7Ae
CWI41_080400	hypothetical protein
CWI41_080410	hypothetical protein
CWI41_080420	Cdc46/Mcm ATPase
CWI41_080430	hypothetical protein
CWI41_080440	hypothetical protein
CWI41_080450	serine/threonine kinase
CWI41_080460	hypothetical protein
CWI41_080470	hypothetical protein
CWI41_080480	cell division protein
CWI41_080490	putative ATP binding protein
CWI41_080500	hypothetical protein
CWI41_080510	EPP-like transporter
CWI41_080520	hypothetical protein
CWI41_080530	hypothetical protein
CWI41_080540	26S proteasome regulatory complex protein
CWI41_080550	adrenodoxin-like ferredoxin
CWI41_080560	Rad50-like protein
CWI41_080570	hypothetical protein
CWI41_080580	hypothetical protein
CWI41_080590	hypothetical protein
CWI41_080600	hypothetical protein
CWI41_080610	small ubiquitin-related modifier protein
CWI41_080620	hypothetical protein
CWI41_080640	chromosome segregation ATPase
CWI41_080650	hypothetical protein
CWI41_080660	subunit Sec62 of preprotein translocase
CWI41_080670	hypothetical protein
CWI41_080680	hypothetical protein
CWI41_080690	hypothetical protein
CWI41_080700	aquaporin
CWI41_080710	hypothetical protein
CWI41_080720	DnaJ-class molecular chaperone
CWI41_080730	nuclear pore protein
CWI41_080740	hypothetical protein
CWI41_080750	hypothetical protein
CWI41_080760	glyceraldehyde-3-phosphate dehydrogenase
CWI41_080770	hypothetical protein
CWI41_080780	acidic ribosomal protein P0
CWI41_080790	Ski2-like helicase
CWI41_080800	subunit Rpb8 of RNA polymerase
CWI41_080810	subunit Cullin of E3 ubiquitin ligase
CWI41_080820	hypothetical protein
CWI41_080830	hypothetical protein
CWI41_080840	RNA polymerase II transcription
CWI41_080860	TFIIF-interacting CTD phosphatase
CWI41_080870	alpha/beta hydrolase domain-containing protein
CWI41_080880	hypothetical protein
CWI41_080890	hypothetical protein
CWI41_080900	ribosomal protein L24
CWI41_080910	putative subunit RPA3 of replication protein A
CWI41_080920	subunit Rpb5 of DNA-directed RNA polymerase
CWI41_080930	hypothetical protein
CWI41_080940	hypothetical protein
CWI41_080950	subunit DPH2 of diphthamide synthase
CWI41_080960	hypothetical protein
CWI41_080970	hypothetical protein
CWI41_080980	hypothetical protein
CWI41_080990	ribosomal protein L37a
CWI41_081000	subunit POB3 of nucleosome-binding factor SPN
CWI41_081010	WD40 domain-containing protein
CWI41_081020	hypothetical protein
CWI41_081030	subunit alpha of proteasome
CWI41_081040	NAD kinase
CWI41_081050	ATP-dependent RNA helicase
CWI41_081060	hypothetical protein
CWI41_081070	hypothetical protein
CWI41_081080	hypothetical protein
CWI41_081090	ATP-dependent DNA helicase RecQ
CWI41_081100	subunit 3 of splicing factor 3a
CWI41_081110	hypothetical protein
CWI41_081120	hypothetical protein
CWI41_081130	tRNA-dihydrouridine synthase
CWI41_081140	hypothetical protein
CWI41_081150	alpha tubulin
CWI41_081160	hypothetical protein
CWI41_081170	hypothetical protein
CWI41_081180	formin homology 2 domain-containing protein
CWI41_081190	hypothetical protein
CWI41_081200	hypothetical protein
CWI41_081210	hypothetical protein
CWI41_081220	Golgi nucleoside diphosphatase
CWI41_081230	serine/threonine kinase
CWI41_081240	glucosamine-fructose-6-phosphate
CWI41_081250	hypothetical protein
CWI41_081260	Hsp90 ATPase activator
CWI41_081270	hypothetical protein
CWI41_081280	hypothetical protein
CWI41_081290	subunit beta of translation initiation factor IF-2
CWI41_081300	rRNA methylase
CWI41_081310	putative V-type ATP synthase
CWI41_081320	hypothetical protein
CWI41_081330	hypothetical protein
CWI41_081340	ubiquitin/L40 ribosomal protein fusion
CWI41_081350	ribosomal protein L22/L17e
CWI41_081360	beta type-1 subunit of proteasome
CWI41_081370	hypothetical protein
CWI41_081380	Dopey-like leucine zipper transcription factor
CWI41_081390	hypothetical protein
CWI41_081400	ribosomal protein L37
CWI41_081410	hypothetical protein
CWI41_081430	hypothetical protein
CWI41_081450	hypothetical protein
CWI41_081470	type V P-ATPase
CWI41_081480	hypothetical protein
CWI41_081500	hypothetical protein
CWI41_081510	hypothetical protein
CWI41_081520	hypothetical protein
CWI41_081530	threonyl-tRNA synthetase
CWI41_081540	hypothetical protein
CWI41_081550	hypothetical protein
CWI41_081560	hypothetical protein
CWI41_081570	tRNA-dihydrouridine synthase
CWI41_081580	hypothetical protein
CWI41_081590	mRNA decapping enzyme 2
CWI41_081600	regulatory subunit 4 of proteosome
CWI41_081610	hypothetical protein
CWI41_081620	hypothetical protein
CWI41_081630	subunit alpha of phenylalanyl-tRNA synthetase
CWI41_081640	hypothetical protein
CWI41_081650	putative acetyltransferase
CWI41_081660	transcriptional accessory-like protein
CWI41_081670	ribosomal protein S2
CWI41_081680	hypothetical protein
CWI41_081690	hypothetical protein
CWI41_081700	hypothetical protein
CWI41_081710	MADS domain-containing protein
CWI41_081720	subunit 7 of RNA polymerase II
CWI41_090010	hypothetical protein
CWI41_090020	hypothetical protein
CWI41_090030	hypothetical protein
CWI41_090040	ABCG White-like ABC transporter
CWI41_090050	hypothetical protein
CWI41_090060	hypothetical protein
CWI41_090070	putative small nuclear ribonucleoprotein
CWI41_090080	hypothetical protein
CWI41_090090	hypothetical protein
CWI41_090100	small subunit of clathrin adaptor complex
CWI41_090110	EF-Hand Ca2+-binding protein
CWI41_090120	hypothetical protein
CWI41_090130	hypothetical protein
CWI41_090140	hypothetical protein
CWI41_090150	hypothetical protein
CWI41_090160	hypothetical protein
CWI41_090180	cyclin-dependent protein kinase
CWI41_090190	GTP-binding protein
CWI41_090200	subunit H of vacuolar H+-ATPase V1
CWI41_090210	cyclin
CWI41_090220	hypothetical protein
CWI41_090230	beta type-2 subunit of proteasome
CWI41_090240	minichromosome maintenance protein
CWI41_090250	hypothetical protein
CWI41_090260	hypothetical protein
CWI41_090270	DNA-directed RNA polymerase
CWI41_090280	subunit H of ATP synthase
CWI41_090290	putative GTPase
CWI41_090300	hypothetical protein
CWI41_090310	ribosomal protein S15
CWI41_090320	hypothetical protein
CWI41_090330	ribosomal protein L26
CWI41_090340	RNA binding protein
CWI41_090350	histidine triad nucleotide-binding protein
CWI41_090360	tRNA/rRNA cytosine-C5-methylase
CWI41_090370	histone H2B-like protein
CWI41_090380	hypothetical protein
CWI41_090390	hypothetical protein
CWI41_090400	hypothetical protein
CWI41_090410	hypothetical protein
CWI41_090420	E1 ubiquitin activating enzyme-like protein
CWI41_090430	peptidyl-prolyl cis-trans isomerase
CWI41_090440	hypothetical protein
CWI41_090450	cysteinyl-tRNA-synthetase
CWI41_090460	hypothetical protein
CWI41_090470	hypothetical protein
CWI41_090480	RNA binding domain-containing protein
CWI41_090490	hypothetical protein
CWI41_090500	Sm-like protein
CWI41_090510	arginyl-tRNA synthetase
CWI41_090520	Zn-finger domain-containing protein
CWI41_090530	hypothetical protein
CWI41_090550	hypothetical protein
CWI41_090560	hypothetical protein
CWI41_090570	hypothetical protein
CWI41_090580	ribosomal protein L18
CWI41_090590	chromosome condensation complex Condensin
CWI41_090600	hypothetical protein
CWI41_090610	catalytic subunit of DNA primase
CWI41_090620	hypothetical protein
CWI41_090630	subunit E' of DNA-directed RNA polymerase
CWI41_090640	hypothetical protein
CWI41_090660	gamma-tubulin
CWI41_090670	subunit zeta of vesicle coat complex COPI
CWI41_090680	hypothetical protein
CWI41_090690	Golgi-to-ER retrieval protein
CWI41_090700	hypothetical protein
CWI41_090710	hypothetical protein
CWI41_090720	Rab5-like GTPase
CWI41_090730	MRP-like protein
CWI41_090740	ERCC4-type nuclease
CWI41_090750	subunit Rpb4 of RNA polymerase II
CWI41_090760	8-oxoguanine DNA glycosylase
CWI41_090770	hypothetical protein
CWI41_090780	hypothetical protein
CWI41_090790	signal recognition particle protein Srp19
CWI41_090800	hypothetical protein
CWI41_090810	ribosomal protein L4
CWI41_090820	hypothetical protein
CWI41_090830	subunit of mRNA deadenylase
CWI41_090840	ubiquitin-conjugating enzyme E2
CWI41_090850	ribosomal protein S4
CWI41_090860	endonuclease III
CWI41_090870	kinesin-like protein
CWI41_090880	translation initiation factor 4E
CWI41_090890	hypothetical protein
CWI41_090900	hypothetical protein
CWI41_090910	cyclic nucleotide-binding domain-containing protein
CWI41_090930	hypothetical protein
CWI41_090940	hypothetical protein
CWI41_090950	heat shock transcription factor
CWI41_090960	hypothetical protein
CWI41_090970	hypothetical protein
CWI41_090980	hypothetical protein
CWI41_090990	hypothetical protein
CWI41_091000	hypothetical protein
CWI41_091010	hypothetical protein
CWI41_091020	hypothetical protein
CWI41_091030	ribosomal protein S25
CWI41_091040	hypothetical protein
CWI41_091050	ribosomal protein S13
CWI41_091060	ribosomal protein S25
CWI41_091070	ATP-dependent RNA helicase
CWI41_091080	histone acetyltransferase
CWI41_091090	subunit beta of coatomer complex
CWI41_091100	WD40 domain-containing protein
CWI41_091110	Rad3-like DNA helicase
CWI41_091120	hypothetical protein
CWI41_091130	hypothetical protein
CWI41_091140	putative short-chain alcohol dehydrogenase
CWI41_091150	ribosomal protein L23
CWI41_091160	hypothetical protein
CWI41_091170	hypothetical protein
CWI41_091180	hypothetical protein
CWI41_091190	putative subunit p30 of RNase P/RNase MRP
CWI41_091200	putative subunit p30 of RNase P/RNase MRP
CWI41_091210	hypothetical protein
CWI41_091220	hypothetical protein
CWI41_091230	hypothetical protein
CWI41_091240	hypothetical protein
CWI41_091250	hypothetical protein
CWI41_091260	WD40 domain-containing protein
CWI41_091270	hypothetical protein
CWI41_091280	developmentally regulated GTP-binding protein
CWI41_091290	hypothetical protein
CWI41_091300	subunit beta of prenyltransferase
CWI41_091310	ATP/ADP translocase
CWI41_091320	hypothetical protein
CWI41_091330	subunit M of DNA-directed RNA polymerase
CWI41_091340	hypothetical protein
CWI41_091350	TRAM protein transporter
CWI41_091360	glutaredoxin
CWI41_091370	GATA Zn-finger-containing transcription
CWI41_091380	hypothetical protein
CWI41_091390	phosphoinositide polyphosphatase
CWI41_091400	hypothetical protein
CWI41_091410	hypothetical protein
CWI41_091420	hypothetical protein
CWI41_091430	N2,N2-dimethylguanosine tRNA methyltransferase
CWI41_091440	hypothetical protein
CWI41_091450	serine/threonine kinase
CWI41_091460	hypothetical protein
CWI41_091470	hypothetical protein
CWI41_091480	ribosome biogenesis regulatory protein
CWI41_091490	vacuolar-type H+-ATPase
CWI41_091500	putative pseudouridylate synthase
CWI41_091510	hypothetical protein
CWI41_091520	hypothetical protein
CWI41_091530	ribosomal protein L10
CWI41_091540	subunit alpha of type-2 proteasome
CWI41_091550	hypothetical protein
CWI41_091560	hypothetical protein
CWI41_091570	putative subunit of exosome
CWI41_091580	serine/threonine kinase
CWI41_091590	cleavage and polyadenylation specificity factor
CWI41_091600	chromatin remodeling bromodomain-containing protein
CWI41_091610	hypothetical protein
CWI41_091620	transcription elongation factor SPT4
CWI41_091630	hypothetical protein
CWI41_091640	hypothetical protein
CWI41_091650	GTPase-activating protein
CWI41_091660	hypothetical protein
CWI41_091670	hypothetical protein
CWI41_091680	hypothetical protein
CWI41_091690	subunit of RNA polymerase III transcription factor IIIC
CWI41_091700	ribosomal protein L14E/L6E/L27E
CWI41_091710	cyclin-dependent protein kinase
CWI41_091720	hypothetical protein
CWI41_091730	hypothetical protein
CWI41_091740	putative PP-loop ATPase
CWI41_091750	glucose-6-phosphate 1-dehydrogenase
CWI41_091770	subunit beta of type-5 proteasome
CWI41_091780	hypothetical protein
CWI41_091790	AAA ATPase
CWI41_091800	ribosomal protein L23a
CWI41_091820	cyclin-dependent protein kinase
CWI41_091830	ADP-ribosylation factor 1
CWI41_091840	hypothetical protein
CWI41_091850	cyclin-dependent protein kinase
CWI41_091870	regulatory subunit of ATP-dependent 26S proteasome
CWI41_091880	hypothetical protein
CWI41_091890	hypothetical protein
CWI41_091900	ribosomal protein L12
CWI41_091910	hypothetical protein
CWI41_091920	hypothetical protein
CWI41_091930	hypothetical protein
CWI41_091940	hypothetical protein
CWI41_091950	hypothetical protein
CWI41_091960	hypothetical protein
CWI41_091970	hypothetical protein
CWI41_100010	protein disulfide isomerase
CWI41_100020	hypothetical protein
CWI41_100030	hypothetical protein
CWI41_100040	hypothetical protein
CWI41_100050	hypothetical protein
CWI41_100060	hypothetical protein
CWI41_100070	hypothetical protein
CWI41_100080	RING-finger-containing E3 ubiquitin ligase
CWI41_100090	hypothetical protein
CWI41_100100	pyruvate kinase
CWI41_100110	hypothetical protein
CWI41_100120	hypothetical protein
CWI41_100130	histone deacetylase
CWI41_100140	hypothetical protein
CWI41_100150	hypothetical protein
CWI41_100160	Prp40-like splicing factor
CWI41_100170	hypothetical protein
CWI41_100180	beta type-7 subunit of proteasome
CWI41_100190	hypothetical protein
CWI41_100200	hypothetical protein
CWI41_100210	hypothetical protein
CWI41_100220	5'-3' exonuclease
CWI41_100230	subunit B of DNA polymerase delta
CWI41_100240	hypothetical protein
CWI41_100250	hypothetical protein
CWI41_100260	hypothetical protein
CWI41_100270	hypothetical protein
CWI41_100280	septin
CWI41_100290	ribonuclease
CWI41_100300	hypothetical protein
CWI41_100310	hypothetical protein
CWI41_100320	hypothetical protein
CWI41_100330	hypothetical protein
CWI41_100340	hypothetical protein
CWI41_100350	hypothetical protein
CWI41_100360	hypothetical protein
CWI41_100370	hypothetical protein
CWI41_100380	deoxyhypusine synthase
CWI41_100390	23S rRNA methylase
CWI41_100400	Yos1-like protein
CWI41_100410	Rad52 recombination DNA repair protein
CWI41_100420	ER to Golgi transport membrane protein
CWI41_100430	hypothetical protein
CWI41_100440	hypothetical protein
CWI41_100450	hypothetical protein
CWI41_100460	PP2A-like phosphoprotein phosphatase
CWI41_100470	hypothetical protein
CWI41_100480	ribosomal protein L3
CWI41_100490	hypothetical protein
CWI41_100500	hypothetical protein
CWI41_100510	cyclin
CWI41_100520	subunit of pyruvate dehydrogenase E1
CWI41_100530	hypothetical protein
CWI41_100540	hypothetical protein
CWI41_100550	glycosylphosphatidylinositol transamidase
CWI41_100560	hypothetical protein
CWI41_100570	hypothetical protein
CWI41_100580	hypothetical protein
CWI41_100590	hypothetical protein
CWI41_100600	hypothetical protein
CWI41_100610	hypothetical protein
CWI41_100620	hypothetical protein
CWI41_110010	hypothetical protein
CWI41_110020	Ndc80p-complex mitotic spindle protein
CWI41_110030	asparaginyl-tRNA synthetase
CWI41_110040	hypothetical protein
CWI41_110050	hypothetical protein
CWI41_110060	autoantigen NGP-1
CWI41_110070	ATP-dependent RNA helicase
CWI41_110080	hypothetical protein
CWI41_110090	DNA repair flap endonuclease
CWI41_110100	subunit Tfb5 of transcription factor TFIIH complex
CWI41_110110	translation factor
CWI41_110120	ribosomal biogenesis protein
CWI41_110130	Yip1-interacting factor
CWI41_110140	vacuole import and degradation protein
CWI41_110150	NADPH cytochrome p450 reductase
CWI41_110160	hypothetical protein
CWI41_110170	Cdc73-like RNA polymerase II accessory factor
CWI41_110180	hypothetical protein
CWI41_110190	putative methyl transferase
CWI41_110200	hypothetical protein
CWI41_110210	hypothetical protein
CWI41_110230	subunit I of vacuolar-type H+-ATPase
CWI41_110240	DNA helicase
CWI41_110250	small nuclear ribonucleoprotein
CWI41_110260	hypothetical protein
CWI41_110270	hypothetical protein
CWI41_110280	hypothetical protein
CWI41_110290	regulatory subunit of ATP-dependent 26S proteasome
CWI41_110310	PHD zinc finger domain-containing protein
CWI41_110320	subunit IKAP of IkappaB kinase complex
CWI41_110330	undecaprenyl pyrophosphate synthase
CWI41_110340	hypothetical protein
CWI41_110350	DNA/RNA helicase
CWI41_110360	hypothetical protein
CWI41_110370	structural maintenance of chromosomes protein
CWI41_110380	hypothetical protein
CWI41_110390	hypothetical protein
CWI41_110400	hypothetical protein
CWI41_110410	membrane traffic protein
CWI41_110420	deoxycytidylate deaminase
CWI41_110430	myosin heavy chain
CWI41_110440	hypothetical protein
CWI41_110450	hypothetical protein
CWI41_110460	hypothetical protein
CWI41_120010	hypothetical protein
CWI41_120020	protein kinase domain-containing protein
CWI41_120040	putative transcription regulator protein
CWI41_120050	hypothetical protein
CWI41_120060	ubiquitin-like domain containing protein
CWI41_120070	putative CDK-activating kinase assembly factor
CWI41_120080	ribosomal protein S21e
CWI41_120090	triosephosphate isomerase
CWI41_120100	putative exportin 1
CWI41_120110	dephospho-CoA kinase
CWI41_120120	hypothetical protein
CWI41_120130	hypothetical protein
CWI41_120140	putative mitochondrial ABC transporter
CWI41_120150	hypothetical protein
CWI41_120160	zinc finger domain-containing protein
CWI41_120170	putative RAB escort protein
CWI41_120180	putative Rad5p-binding protein
CWI41_120190	subunit beta of RNA polymerase
CWI41_120200	hypothetical protein
CWI41_120220	subunit SEC6 of exocyst complex
CWI41_120230	putative transmembrane adaptor Erv26
CWI41_120240	hypothetical protein
CWI41_120260	hypothetical protein
CWI41_120270	Sel1 repeat domain-containing protein
CWI41_120280	RNP domain-containing protein
CWI41_120290	phosphoinositide 4-kinase
CWI41_120300	ribosomal biogenesis protein
CWI41_120310	kinesin motor domain-containing protein
CWI41_120320	GATase1 CTP synthase
CWI41_120330	hypothetical protein
CWI41_120340	RNP domain-containing protein
CWI41_120350	BolA-like protein
CWI41_120360	polysaccharide deacetylase domain-containing protein
CWI41_120370	hypothetical protein
CWI41_120380	hypothetical protein
CWI41_120390	aminoacyl-tRNA ligase
CWI41_120400	Hsp70-like protein
CWI41_120410	putative Arf GTPase activating protein
CWI41_120420	hypothetical protein
CWI41_120430	regulatory subunit of proteasome
CWI41_120440	hypothetical protein
CWI41_120450	subunit NuA4 of histone acetyltransferase
CWI41_120460	subunit AC19 of RNA polymerase
CWI41_120470	hypothetical protein
CWI41_120480	pre-mRNA cleavage and polyadenylation
CWI41_120490	CDP-alcohol phosphatidyltransferase
CWI41_120500	hypothetical protein
CWI41_120510	hypothetical protein
CWI41_120520	inositol metabolism VAMP-associated protein
CWI41_120530	PP1 serine/threonine phosphatase
CWI41_120540	eukaryotic translation initiation factor eIF2A
CWI41_120550	hypothetical protein
CWI41_120560	GDP-mannose pyrophosphorylase
CWI41_120570	hypothetical protein
CWI41_120580	hypothetical protein
CWI41_120590	ribosomal protein S10
CWI41_120600	class 2 transcription repressor NC2 beta
CWI41_120610	hypothetical protein
CWI41_120620	putative RNA-binding protein
CWI41_120630	putative exonuclease
CWI41_120650	putative mRNA deadenylase
CWI41_120660	hypothetical protein
CWI41_120670	Sec23-like protein transport protein
CWI41_120680	minichromosome maintenance protein
CWI41_120690	putative ribosomal protein S8
CWI41_120700	DNA repair protein Rad51
CWI41_120710	subunit of transcription initiation factor TFIID
CWI41_120720	AAA family ATPase
CWI41_120730	HrpA-like helicase
CWI41_120750	putative ethanolamine-phosphate
CWI41_120770	methionyl-tRNA synthetase
CWI41_120780	subunit of U2 snRNP spliceosome
CWI41_120790	hypothetical protein
CWI41_120800	hypothetical protein
CWI41_120810	subunit alpha of translation initiation factor 2
CWI41_120820	hypothetical protein
CWI41_120830	HS6-type ribosomal protein
CWI41_120840	hypothetical protein
CWI41_120850	serine/threonine kinase
CWI41_120860	hypothetical protein
CWI41_120870	putative synaptobrevin/VAMP-like protein
CWI41_120880	hypothetical protein
CWI41_120890	hypothetical protein
CWI41_120900	hypothetical protein
CWI41_120910	hypothetical protein
CWI41_120920	putative AAA+ class ATPase
CWI41_120930	hypothetical protein
CWI41_120940	putative proton-dependent oligopeptide transportprotein
CWI41_120950	hypothetical protein
CWI41_120960	hypothetical protein
CWI41_120970	superoxide dismutase
CWI41_120980	hypothetical protein
CWI41_120990	isoleucyl-tRNA synthetase
CWI41_121000	hypothetical protein
CWI41_121010	translation elongation factor 2
CWI41_121020	hypothetical protein
CWI41_121030	putative membrane protein
CWI41_121040	hypothetical protein
CWI41_121050	hypothetical protein
CWI41_121060	putative nucleotide binding protein
CWI41_121070	putative mitochondrial ABC transporter
CWI41_121080	hypothetical protein
CWI41_121090	hypothetical protein
