
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01330
To: KEGG GENES
vcn:VOLCADRAFT_107646 hypothetical protein 
vcn:VOLCADRAFT_107647 hypothetical protein 
vcn:VOLCADRAFT_107648 hypothetical protein 
vcn:VOLCADRAFT_107649 phV34; extracellular matrix glycoprotein pherophorin-V34 
vcn:VOLCADRAFT_107652 hypothetical protein 
vcn:VOLCADRAFT_107653 hypothetical protein 
vcn:VOLCADRAFT_107655 hypothetical protein 
vcn:VOLCADRAFT_107656 hypothetical protein 
vcn:VOLCADRAFT_107657 hypothetical protein 
vcn:VOLCADRAFT_107658 hypothetical protein 
vcn:VOLCADRAFT_107659 hypothetical protein 
vcn:VOLCADRAFT_107660 hypothetical protein 
vcn:VOLCADRAFT_107661 hypothetical protein 
vcn:VOLCADRAFT_107665 ASH2L; hypothetical protein; K14964 Set1/Ash2 histone methyltransferase complex subunit ASH2 
vcn:VOLCADRAFT_107666 hypothetical protein; K13217 pre-mRNA-processing factor 39 
vcn:VOLCADRAFT_107667 hypothetical protein 
vcn:VOLCADRAFT_107669 arp2; actin-related protein Arp2; K17260 actin-related protein 2 
vcn:VOLCADRAFT_107672 hypothetical protein; K17872 NADH:ubiquinone reductase (non-electrogenic) [EC:1.6.5.9] 
vcn:VOLCADRAFT_107675 hypothetical protein; K01873 valyl-tRNA synthetase [EC:6.1.1.9] 
vcn:VOLCADRAFT_107677 hypothetical protein 
vcn:VOLCADRAFT_107678 hypothetical protein 
vcn:VOLCADRAFT_107679 hypothetical protein 
vcn:VOLCADRAFT_107681 hypothetical protein 
vcn:VOLCADRAFT_107682 hypothetical protein 
vcn:VOLCADRAFT_107684 kinesin-like protein with TPR domains 
vcn:VOLCADRAFT_107685 hypothetical protein 
vcn:VOLCADRAFT_107688 hypothetical protein 
vcn:VOLCADRAFT_107690 hypothetical protein 
vcn:VOLCADRAFT_107691 hypothetical protein 
vcn:VOLCADRAFT_107693 hypothetical protein 
vcn:VOLCADRAFT_107694 hypothetical protein 
vcn:VOLCADRAFT_107696 hypothetical protein 
vcn:VOLCADRAFT_107698 hypothetical protein 
vcn:VOLCADRAFT_107699 hypothetical protein 
vcn:VOLCADRAFT_107700 hypothetical protein 
vcn:VOLCADRAFT_107701 hypothetical protein 
vcn:VOLCADRAFT_107702 hypothetical protein; K00962 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] 
vcn:VOLCADRAFT_107705 rps12; component of cytosolic 80S ribosome and 40S small subunit; K02951 small subunit ribosomal pro 
vcn:VOLCADRAFT_107708 hypothetical protein 
vcn:VOLCADRAFT_107711 hypothetical protein 
vcn:VOLCADRAFT_107713 hypothetical protein 
vcn:VOLCADRAFT_107717 hypothetical protein 
vcn:VOLCADRAFT_107718 elg8; acetylglucosaminyltransferase 
vcn:VOLCADRAFT_107719 hypothetical protein 
vcn:VOLCADRAFT_107721 hypothetical protein 
vcn:VOLCADRAFT_107722 hypothetical protein 
vcn:VOLCADRAFT_107723 hypothetical protein 
vcn:VOLCADRAFT_107726 hypothetical protein 
vcn:VOLCADRAFT_107727 hypothetical protein 
vcn:VOLCADRAFT_107728 hypothetical protein 
vcn:VOLCADRAFT_107729 hypothetical protein 
vcn:VOLCADRAFT_107731 hypothetical protein 
vcn:VOLCADRAFT_107732 hypothetical protein 
vcn:VOLCADRAFT_107733 hypothetical protein 
vcn:VOLCADRAFT_107736 hypothetical protein; K14552 NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated pr 
vcn:VOLCADRAFT_107737 hypothetical protein; K02320 DNA polymerase alpha subunit A [EC:2.7.7.7] 
vcn:VOLCADRAFT_107739 hypothetical protein 
vcn:VOLCADRAFT_107742 hypothetical protein 
vcn:VOLCADRAFT_107744 hypothetical protein 
vcn:VOLCADRAFT_107746 hypothetical protein 
vcn:VOLCADRAFT_107747 hypothetical protein 
vcn:VOLCADRAFT_107748 hypothetical protein 
vcn:VOLCADRAFT_107749 hypothetical protein 
vcn:VOLCADRAFT_107750 hypothetical protein 
vcn:VOLCADRAFT_107753 hypothetical protein 
vcn:VOLCADRAFT_107754 hypothetical protein 
vcn:VOLCADRAFT_107755 hypothetical protein 
vcn:VOLCADRAFT_107756 hypothetical protein 
vcn:VOLCADRAFT_107758 hypothetical protein 
vcn:VOLCADRAFT_107760 hypothetical protein 
vcn:VOLCADRAFT_107761 hypothetical protein 
vcn:VOLCADRAFT_107762 hypothetical protein 
vcn:VOLCADRAFT_107764 hypothetical protein 
vcn:VOLCADRAFT_107765 hypothetical protein 
vcn:VOLCADRAFT_107766 hypothetical protein 
vcn:VOLCADRAFT_107767 hypothetical protein; K00083 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195] 
vcn:VOLCADRAFT_107768 hypothetical protein 
vcn:VOLCADRAFT_107769 hypothetical protein 
vcn:VOLCADRAFT_107771 hypothetical protein 
vcn:VOLCADRAFT_107772 hypothetical protein 
vcn:VOLCADRAFT_107774 hypothetical protein 
vcn:VOLCADRAFT_107775 elg9; acetylglucosaminyltransferase 
vcn:VOLCADRAFT_107778 hypothetical protein; K12585 exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-] 
vcn:VOLCADRAFT_107781 hypothetical protein 
vcn:VOLCADRAFT_107783 Kif4 type kinesin; K10395 kinesin family member 4/7/21/27 
vcn:VOLCADRAFT_107785 hypothetical protein 
vcn:VOLCADRAFT_107786 hypothetical protein 
vcn:VOLCADRAFT_107790 hypothetical protein 
vcn:VOLCADRAFT_107791 hypothetical protein 
vcn:VOLCADRAFT_107792 hypothetical protein; K00774 poly [ADP-ribose] polymerase 16 [EC:2.4.2.30] 
vcn:VOLCADRAFT_107793 hypothetical protein 
vcn:VOLCADRAFT_107794 ssa4; hypothetical protein 
vcn:VOLCADRAFT_107795 hypothetical protein 
vcn:VOLCADRAFT_107798 hypothetical protein 
vcn:VOLCADRAFT_107799 hypothetical protein 
vcn:VOLCADRAFT_107804 hypothetical protein 
vcn:VOLCADRAFT_107805 hypothetical protein 
vcn:VOLCADRAFT_107806 hypothetical protein 
vcn:VOLCADRAFT_107808 hypothetical protein 
vcn:VOLCADRAFT_107809 hypothetical protein 
vcn:VOLCADRAFT_107812 hypothetical protein 
vcn:VOLCADRAFT_107813 hypothetical protein 
vcn:VOLCADRAFT_107814 hypothetical protein 
vcn:VOLCADRAFT_107815 hypothetical protein 
vcn:VOLCADRAFT_107816 hypothetical protein 
vcn:VOLCADRAFT_107818 hypothetical protein; K13379 reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2. 
vcn:VOLCADRAFT_107821 hypothetical protein 
vcn:VOLCADRAFT_107822 hypothetical protein 
vcn:VOLCADRAFT_107824 hypothetical protein 
vcn:VOLCADRAFT_107827 hypothetical protein 
vcn:VOLCADRAFT_107831 hypothetical protein 
vcn:VOLCADRAFT_107832 hypothetical protein 
vcn:VOLCADRAFT_107834 hypothetical protein 
vcn:VOLCADRAFT_107837 hypothetical protein 
vcn:VOLCADRAFT_107838 hypothetical protein 
vcn:VOLCADRAFT_107839 hypothetical protein 
vcn:VOLCADRAFT_107840 hypothetical protein 
vcn:VOLCADRAFT_107841 hypothetical protein 
vcn:VOLCADRAFT_107842 hypothetical protein 
vcn:VOLCADRAFT_107843 hypothetical protein 
vcn:VOLCADRAFT_107845 hypothetical protein; K12854 pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13] 
vcn:VOLCADRAFT_107849 hypothetical protein 
vcn:VOLCADRAFT_107850 hypothetical protein; K14950 cation-transporting ATPase 13A1 [EC:3.6.3.-] 
vcn:VOLCADRAFT_107851 hypothetical protein 
vcn:VOLCADRAFT_107853 hypothetical protein 
vcn:VOLCADRAFT_107854 hypothetical protein 
vcn:VOLCADRAFT_107856 hypothetical protein 
vcn:VOLCADRAFT_107857 hypothetical protein 
vcn:VOLCADRAFT_107859 hypothetical protein 
vcn:VOLCADRAFT_107862 hypothetical protein 
vcn:VOLCADRAFT_107863 hypothetical protein 
vcn:VOLCADRAFT_107864 hypothetical protein 
vcn:VOLCADRAFT_107865 hypothetical protein 
vcn:VOLCADRAFT_107867 hypothetical protein 
vcn:VOLCADRAFT_107868 hypothetical protein 
vcn:VOLCADRAFT_107869 hypothetical protein 
vcn:VOLCADRAFT_107870 hypothetical protein 
vcn:VOLCADRAFT_107874 mot41; hypothetical protein 
vcn:VOLCADRAFT_107876 hypothetical protein 
vcn:VOLCADRAFT_107877 crb1; subunit of circadian RNA-binding protein; K13210 far upstream element-binding protein 
vcn:VOLCADRAFT_107879 hypothetical protein 
vcn:VOLCADRAFT_107881 hypothetical protein 
vcn:VOLCADRAFT_107882 hypothetical protein 
vcn:VOLCADRAFT_107886 hypothetical protein; K02155 V-type H+-transporting ATPase 16kDa proteolipid subunit [EC:3.6.3.14] 
vcn:VOLCADRAFT_107889 hypothetical protein 
vcn:VOLCADRAFT_107890 hypothetical protein 
vcn:VOLCADRAFT_107892 hypothetical protein 
vcn:VOLCADRAFT_107894 hypothetical protein 
vcn:VOLCADRAFT_107895 hypothetical protein 
vcn:VOLCADRAFT_107898 hypothetical protein 
vcn:VOLCADRAFT_107899 hypothetical protein 
vcn:VOLCADRAFT_107900 hypothetical protein 
vcn:VOLCADRAFT_107901 hypothetical protein 
vcn:VOLCADRAFT_107902 hypothetical protein 
vcn:VOLCADRAFT_107907 hypothetical protein 
vcn:VOLCADRAFT_107910 hypothetical protein 
vcn:VOLCADRAFT_107912 hypothetical protein 
vcn:VOLCADRAFT_107913 hypothetical protein 
vcn:VOLCADRAFT_107914 hypothetical protein 
vcn:VOLCADRAFT_107915 hypothetical protein 
vcn:VOLCADRAFT_107918 hypothetical protein 
vcn:VOLCADRAFT_107926 hypothetical protein 
vcn:VOLCADRAFT_107929 hypothetical protein 
vcn:VOLCADRAFT_107931 hypothetical protein 
vcn:VOLCADRAFT_107932 hypothetical protein 
vcn:VOLCADRAFT_107934 hypothetical protein 
vcn:VOLCADRAFT_107936 glyoxal or galactose oxidase 
vcn:VOLCADRAFT_107937 hypothetical protein 
vcn:VOLCADRAFT_107940 hypothetical protein 
vcn:VOLCADRAFT_107941 hypothetical protein 
vcn:VOLCADRAFT_107942 hypothetical protein 
vcn:VOLCADRAFT_107944 hypothetical protein 
vcn:VOLCADRAFT_107945 hypothetical protein 
vcn:VOLCADRAFT_107946 hypothetical protein 
vcn:VOLCADRAFT_107947 elg24; acetylglucosaminyltransferase 
vcn:VOLCADRAFT_107952 hypothetical protein 
vcn:VOLCADRAFT_107954 msd2; superoxide dismutase [Mn]; K04564 superoxide dismutase, Fe-Mn family [EC:1.15.1.1] 
vcn:VOLCADRAFT_107955 hypothetical protein 
vcn:VOLCADRAFT_107956 hypothetical protein; K08852 serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1. 
vcn:VOLCADRAFT_107959 hypothetical protein 
vcn:VOLCADRAFT_107960 hypothetical protein 
vcn:VOLCADRAFT_107961 cax1; Ca2+/H+ antiporter, cation antiporter, membrane protein 
vcn:VOLCADRAFT_107962 hypothetical protein 
vcn:VOLCADRAFT_107966 hypothetical protein 
vcn:VOLCADRAFT_107967 prpS6; plastid/chloroplast ribosomal protein S6 
vcn:VOLCADRAFT_107970 hypothetical protein 
vcn:VOLCADRAFT_107971 dofA; Dof-type zinc finger protein 
vcn:VOLCADRAFT_107972 rfc1; DNA replication factor C complex subunit 1; K10754 replication factor C subunit 1 
vcn:VOLCADRAFT_107975 hypothetical protein 
vcn:VOLCADRAFT_107978 hypothetical protein 
vcn:VOLCADRAFT_107980 hypothetical protein 
vcn:VOLCADRAFT_107982 hypothetical protein 
vcn:VOLCADRAFT_107983 hypothetical protein 
vcn:VOLCADRAFT_107985 hypothetical protein 
vcn:VOLCADRAFT_107987 hypothetical protein 
vcn:VOLCADRAFT_107992 hypothetical protein 
vcn:VOLCADRAFT_107998 hypothetical protein 
vcn:VOLCADRAFT_108000 hypothetical protein 
vcn:VOLCADRAFT_108001 hypothetical protein 
vcn:VOLCADRAFT_108003 hypothetical protein 
vcn:VOLCADRAFT_108004 jtnpB3; jordan transposition protein 
vcn:VOLCADRAFT_108005 hypothetical protein 
vcn:VOLCADRAFT_108007 hypothetical protein 
vcn:VOLCADRAFT_108013 hypothetical protein 
vcn:VOLCADRAFT_108014 hypothetical protein 
vcn:VOLCADRAFT_108016 hypothetical protein 
vcn:VOLCADRAFT_108017 hypothetical protein 
vcn:VOLCADRAFT_108019 hypothetical protein 
vcn:VOLCADRAFT_108020 hypothetical protein 
vcn:VOLCADRAFT_108021 hypothetical protein 
vcn:VOLCADRAFT_108022 eif2Ba; eukaryotic translation initiation factor 2B alpha; K03239 translation initiation factor eIF- 
vcn:VOLCADRAFT_108027 hypothetical protein 
vcn:VOLCADRAFT_108028 hypothetical protein 
vcn:VOLCADRAFT_108032 hypothetical protein 
vcn:VOLCADRAFT_108033 hypothetical protein 
vcn:VOLCADRAFT_108034 hypothetical protein 
vcn:VOLCADRAFT_108037 hypothetical protein 
vcn:VOLCADRAFT_108038 hypothetical protein; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14] 
vcn:VOLCADRAFT_108040 hypothetical protein 
vcn:VOLCADRAFT_108041 hypothetical protein 
vcn:VOLCADRAFT_108043 hypothetical protein 
vcn:VOLCADRAFT_108046 hypothetical protein 
vcn:VOLCADRAFT_108050 hypothetical protein 
vcn:VOLCADRAFT_108052 hypothetical protein 
vcn:VOLCADRAFT_108054 hypothetical protein 
vcn:VOLCADRAFT_108055 hypothetical protein 
vcn:VOLCADRAFT_108057 hypothetical protein; K14829 pre-rRNA-processing protein IPI3 
vcn:VOLCADRAFT_108058 hypothetical protein 
vcn:VOLCADRAFT_108067 hypothetical protein 
vcn:VOLCADRAFT_108071 hypothetical protein 
vcn:VOLCADRAFT_108077 hypothetical protein 
vcn:VOLCADRAFT_108078 hypothetical protein 
vcn:VOLCADRAFT_108081 hypothetical protein 
vcn:VOLCADRAFT_108084 hypothetical protein 
vcn:VOLCADRAFT_108086 hypothetical protein 
vcn:VOLCADRAFT_108090 hypothetical protein 
vcn:VOLCADRAFT_108091 hypothetical protein 
vcn:VOLCADRAFT_108092 hypothetical protein 
vcn:VOLCADRAFT_108094 hypothetical protein 
vcn:VOLCADRAFT_108095 hypothetical protein 
vcn:VOLCADRAFT_108097 cam1; cell adhesion molecule, algal-CAM, splicing variant 1 
vcn:VOLCADRAFT_108101 hypothetical protein; K16296 serine carboxypeptidase-like clade I [EC:3.4.16.-] 
vcn:VOLCADRAFT_108102 adh1; dual function alcohol dehydrogenase 
vcn:VOLCADRAFT_108106 eif4E; eukaryotic translation initiation factor 4E; K03259 translation initiation factor 4E 
vcn:VOLCADRAFT_108107 hypothetical protein 
vcn:VOLCADRAFT_108109 hypothetical protein; K17525 chitinase domain-containing protein 1 
vcn:VOLCADRAFT_108112 hypothetical protein 
vcn:VOLCADRAFT_108114 hypothetical protein 
vcn:VOLCADRAFT_108119 hypothetical protein 
vcn:VOLCADRAFT_108120 hypothetical protein 
vcn:VOLCADRAFT_108121 hypothetical protein 
vcn:VOLCADRAFT_108122 hypothetical protein 
vcn:VOLCADRAFT_108124 hypothetical protein; K17969 mitochondrial fission 1 protein 
vcn:VOLCADRAFT_108127 hypothetical protein 
vcn:VOLCADRAFT_108128 hypothetical protein 
vcn:VOLCADRAFT_108129 hypothetical protein 
vcn:VOLCADRAFT_108130 hypothetical protein 
vcn:VOLCADRAFT_108132 hypothetical protein 
vcn:VOLCADRAFT_108133 hypothetical protein 
vcn:VOLCADRAFT_108139 hypothetical protein 
vcn:VOLCADRAFT_108140 hypothetical protein 
vcn:VOLCADRAFT_108141 hypothetical protein 
vcn:VOLCADRAFT_108142 hypothetical protein 
vcn:VOLCADRAFT_108143 hypothetical protein 
vcn:VOLCADRAFT_108144 hypothetical protein 
vcn:VOLCADRAFT_108147 hypothetical protein 
vcn:VOLCADRAFT_108148 hypothetical protein 
vcn:VOLCADRAFT_108150 msd1; superoxide dismutase [Mn]; K04564 superoxide dismutase, Fe-Mn family [EC:1.15.1.1] 
vcn:VOLCADRAFT_108152 hypothetical protein 
vcn:VOLCADRAFT_108153 hypothetical protein 
vcn:VOLCADRAFT_108154 hypothetical protein 
vcn:VOLCADRAFT_108156 hypothetical protein 
vcn:VOLCADRAFT_108157 hypothetical protein 
vcn:VOLCADRAFT_108158 hypothetical protein 
vcn:VOLCADRAFT_108161 hypothetical protein 
vcn:VOLCADRAFT_108162 hypothetical protein; K01887 arginyl-tRNA synthetase [EC:6.1.1.19] 
vcn:VOLCADRAFT_108163 hypothetical protein; K11308 histone acetyltransferase MYST1 [EC:2.3.1.48] 
vcn:VOLCADRAFT_108166 hypothetical protein 
vcn:VOLCADRAFT_108167 hypothetical protein 
vcn:VOLCADRAFT_108168 hypothetical protein 
vcn:VOLCADRAFT_108169 jtnpB1-1; jordan transposition protein 
vcn:VOLCADRAFT_108171 hypothetical protein 
vcn:VOLCADRAFT_108172 hypothetical protein 
vcn:VOLCADRAFT_108173 jtnpB1-2; jordan transposition protein 
vcn:VOLCADRAFT_108174 hypothetical protein 
vcn:VOLCADRAFT_108177 hypothetical protein 
vcn:VOLCADRAFT_108178 hypothetical protein 
vcn:VOLCADRAFT_108180 hypothetical protein 
vcn:VOLCADRAFT_108182 hypothetical protein 
vcn:VOLCADRAFT_108183 hypothetical protein 
vcn:VOLCADRAFT_108184 hypothetical protein 
vcn:VOLCADRAFT_108185 jtnpA21; hypothetical protein 
vcn:VOLCADRAFT_108186 hypothetical protein 
vcn:VOLCADRAFT_108187 hypothetical protein 
vcn:VOLCADRAFT_108188 hypothetical protein 
vcn:VOLCADRAFT_108189 hypothetical protein 
vcn:VOLCADRAFT_108190 hypothetical protein 
vcn:VOLCADRAFT_108192 hypothetical protein 
vcn:VOLCADRAFT_108193 hypothetical protein 
vcn:VOLCADRAFT_108194 hypothetical protein 
vcn:VOLCADRAFT_108195 hypothetical protein; K02736 20S proteasome subunit beta 7 [EC:3.4.25.1] 
vcn:VOLCADRAFT_108196 gos1; Qb-SNARE, Gos1/GS28-family; K08495 golgi SNAP receptor complex member 1 
vcn:VOLCADRAFT_108201 hypothetical protein; K11270 chromosome transmission fidelity protein 8 
vcn:VOLCADRAFT_108202 dnj38; molecular chaperone 
vcn:VOLCADRAFT_108206 hypothetical protein 
vcn:VOLCADRAFT_108207 hypothetical protein 
vcn:VOLCADRAFT_108211 hypothetical protein 
vcn:VOLCADRAFT_108213 hypothetical protein; K08675 Lon-like ATP-dependent protease [EC:3.4.21.-] 
vcn:VOLCADRAFT_108214 hypothetical protein; K11291 nuclear autoantigenic sperm protein 
vcn:VOLCADRAFT_108215 hypothetical protein 
vcn:VOLCADRAFT_108220 hypothetical protein; K12192 charged multivesicular body protein 2B 
vcn:VOLCADRAFT_108221 hypothetical protein 
vcn:VOLCADRAFT_108222 hypothetical protein; K01778 diaminopimelate epimerase [EC:5.1.1.7] 
vcn:VOLCADRAFT_108223 hypothetical protein 
vcn:VOLCADRAFT_108225 hypothetical protein 
vcn:VOLCADRAFT_108226 hypothetical protein 
vcn:VOLCADRAFT_108227 hypothetical protein 
vcn:VOLCADRAFT_108232 hypothetical protein 
vcn:VOLCADRAFT_108233 hypothetical protein 
vcn:VOLCADRAFT_108237 hypothetical protein 
vcn:VOLCADRAFT_108238 hypothetical protein 
vcn:VOLCADRAFT_108241 hypothetical protein 
vcn:VOLCADRAFT_108247 hypothetical protein; K17686 Cu+-exporting ATPase [EC:3.6.3.54] 
vcn:VOLCADRAFT_108250 hypothetical protein 
vcn:VOLCADRAFT_108252 hypothetical protein 
vcn:VOLCADRAFT_108253 hypothetical protein 
vcn:VOLCADRAFT_108254 hypothetical protein 
vcn:VOLCADRAFT_108259 hypothetical protein 
vcn:VOLCADRAFT_108264 hypothetical protein 
vcn:VOLCADRAFT_108265 hypothetical protein 
vcn:VOLCADRAFT_108266 hypothetical protein 
vcn:VOLCADRAFT_108267 allene oxide cyclase 
vcn:VOLCADRAFT_108270 hypothetical protein; K14951 cation-transporting ATPase 13A3/4/5 [EC:3.6.3.-] 
vcn:VOLCADRAFT_108271 hypothetical protein; K17609 nucleoredoxin [EC:1.8.1.8] 
vcn:VOLCADRAFT_108272 hypothetical protein 
vcn:VOLCADRAFT_108274 hypothetical protein 
vcn:VOLCADRAFT_108275 hypothetical protein 
vcn:VOLCADRAFT_108283 hypothetical protein 
vcn:VOLCADRAFT_108284 hypothetical protein; K14809 ATP-dependent RNA helicase DDX55/SPB4 [EC:3.6.4.13] 
vcn:VOLCADRAFT_108288 hypothetical protein 
vcn:VOLCADRAFT_108290 hypothetical protein 
vcn:VOLCADRAFT_108296 hypothetical protein 
vcn:VOLCADRAFT_108301 hypothetical protein 
vcn:VOLCADRAFT_108304 hypothetical protein 
vcn:VOLCADRAFT_108305 hypothetical protein; K10643 CCR4-NOT transcription complex subunit 4 [EC:6.3.2.19] 
vcn:VOLCADRAFT_108306 hypothetical protein 
vcn:VOLCADRAFT_108307 hypothetical protein 
vcn:VOLCADRAFT_108308 gelsolin1; actin-binding protein gelsolin; K05768 gelsolin 
vcn:VOLCADRAFT_108309 hypothetical protein 
vcn:VOLCADRAFT_108310 cct7; chaperonin complex component; K09499 T-complex protein 1 subunit eta 
vcn:VOLCADRAFT_108313 hypothetical protein 
vcn:VOLCADRAFT_108314 hypothetical protein 
vcn:VOLCADRAFT_108315 hypothetical protein 
vcn:VOLCADRAFT_108316 hypothetical protein 
vcn:VOLCADRAFT_108319 hypothetical protein 
vcn:VOLCADRAFT_108320 hypothetical protein 
vcn:VOLCADRAFT_108323 hypothetical protein 
vcn:VOLCADRAFT_108324 hypothetical protein; K11271 sister chromatid cohesion protein DCC1 
vcn:VOLCADRAFT_108327 hypothetical protein 
vcn:VOLCADRAFT_108328 hypothetical protein 
vcn:VOLCADRAFT_108330 hypothetical protein 
vcn:VOLCADRAFT_108331 hypothetical protein 
vcn:VOLCADRAFT_108333 hypothetical protein 
vcn:VOLCADRAFT_108334 hypothetical protein 
vcn:VOLCADRAFT_108335 hypothetical protein 
vcn:VOLCADRAFT_108336 hypothetical protein 
vcn:VOLCADRAFT_108338 hypothetical protein; K10088 protein OS-9 
vcn:VOLCADRAFT_108339 hypothetical protein 
vcn:VOLCADRAFT_108347 hypothetical protein 
vcn:VOLCADRAFT_108350 hypothetical protein 
vcn:VOLCADRAFT_108351 phV2; extracellular matrix glycoprotein pherophorin-V2 
vcn:VOLCADRAFT_108352 mot28; hypothetical protein 
vcn:VOLCADRAFT_108355 hypothetical protein 
vcn:VOLCADRAFT_108356 hypothetical protein; K15262 protein BCP1 
vcn:VOLCADRAFT_108363 hypothetical protein 
vcn:VOLCADRAFT_108364 hypothetical protein 
vcn:VOLCADRAFT_108365 hypothetical protein 
vcn:VOLCADRAFT_108366 hypothetical protein 
vcn:VOLCADRAFT_108369 hypothetical protein 
vcn:VOLCADRAFT_108370 hypothetical protein 
vcn:VOLCADRAFT_108371 hypothetical protein 
vcn:VOLCADRAFT_108373 hypothetical protein; K17618 ubiquitin-like domain-containing CTD phosphatase 1 [EC:3.1.3.16] 
vcn:VOLCADRAFT_108374 hypothetical protein; K10770 alkylated DNA repair protein alkB homolog 8 [EC:1.14.11.- 2.1.1.229] 
vcn:VOLCADRAFT_108376 hypothetical protein; K15414 complement component 1 Q subcomponent-binding protein, mitochondrial 
vcn:VOLCADRAFT_108377 hypothetical protein 
vcn:VOLCADRAFT_108378 hypothetical protein 
vcn:VOLCADRAFT_108380 hypothetical protein; K09584 protein disulfide-isomerase A6 [EC:5.3.4.1] 
vcn:VOLCADRAFT_108382 hypothetical protein 
vcn:VOLCADRAFT_108383 hypothetical protein 
vcn:VOLCADRAFT_108384 hypothetical protein 
vcn:VOLCADRAFT_108386 hypothetical protein 
vcn:VOLCADRAFT_108387 hypothetical protein; K12604 CCR4-NOT transcription complex subunit 1 
vcn:VOLCADRAFT_108388 hypothetical protein 
vcn:VOLCADRAFT_108389 hypothetical protein 
vcn:VOLCADRAFT_108396 hypothetical protein 
vcn:VOLCADRAFT_108397 hypothetical protein 
vcn:VOLCADRAFT_108399 hypothetical protein 
vcn:VOLCADRAFT_108400 hypothetical protein 
vcn:VOLCADRAFT_108402 hypothetical protein 
vcn:VOLCADRAFT_108406 hypothetical protein 
vcn:VOLCADRAFT_108407 hypothetical protein 
vcn:VOLCADRAFT_108410 hypothetical protein 
vcn:VOLCADRAFT_108413 hypothetical protein 
vcn:VOLCADRAFT_108414 hypothetical protein 
vcn:VOLCADRAFT_108417 hypothetical protein 
vcn:VOLCADRAFT_108418 hypothetical protein 
vcn:VOLCADRAFT_108420 hypothetical protein 
vcn:VOLCADRAFT_108421 hypothetical protein 
vcn:VOLCADRAFT_108426 hypothetical protein 
vcn:VOLCADRAFT_108431 hypothetical protein 
vcn:VOLCADRAFT_108433 hypothetical protein; K12622 U6 snRNA-associated Sm-like protein LSm3 
vcn:VOLCADRAFT_108435 hypothetical protein; K02349 DNA polymerase theta [EC:2.7.7.7] 
vcn:VOLCADRAFT_108436 hypothetical protein 
vcn:VOLCADRAFT_108437 hypothetical protein 
vcn:VOLCADRAFT_108440 hypothetical protein; K01738 cysteine synthase A [EC:2.5.1.47] 
vcn:VOLCADRAFT_108445 hypothetical protein; K03665 GTP-binding protein HflX 
vcn:VOLCADRAFT_108446 hypothetical protein; K00703 starch synthase [EC:2.4.1.21] 
vcn:VOLCADRAFT_108448 hypothetical protein 
vcn:VOLCADRAFT_108451 hypothetical protein 
vcn:VOLCADRAFT_108456 hypothetical protein 
vcn:VOLCADRAFT_108465 hypothetical protein 
vcn:VOLCADRAFT_108466 hypothetical protein 
vcn:VOLCADRAFT_108467 hypothetical protein 
vcn:VOLCADRAFT_108468 hypothetical protein 
vcn:VOLCADRAFT_108470 ttlH; hypothetical protein 
vcn:VOLCADRAFT_108476 hypothetical protein 
vcn:VOLCADRAFT_108478 hypothetical protein 
vcn:VOLCADRAFT_108479 hypothetical protein 
vcn:VOLCADRAFT_108480 hypothetical protein 
vcn:VOLCADRAFT_108482 hypothetical protein 
vcn:VOLCADRAFT_108483 hypothetical protein 
vcn:VOLCADRAFT_108484 hypothetical protein 
vcn:VOLCADRAFT_108490 rabC3; RabC/Rab18; K07910 Ras-related protein Rab-18 
vcn:VOLCADRAFT_108492 hypothetical protein 
vcn:VOLCADRAFT_108493 hypothetical protein 
vcn:VOLCADRAFT_108495 hypothetical protein 
vcn:VOLCADRAFT_108496 hypothetical protein 
vcn:VOLCADRAFT_108497 hypothetical protein 
vcn:VOLCADRAFT_108499 hypothetical protein 
vcn:VOLCADRAFT_108500 hypothetical protein 
vcn:VOLCADRAFT_108501 hypothetical protein 
vcn:VOLCADRAFT_108503 hypothetical protein 
vcn:VOLCADRAFT_108504 hypothetical protein 
vcn:VOLCADRAFT_108505 hypothetical protein 
vcn:VOLCADRAFT_108506 hypothetical protein 
vcn:VOLCADRAFT_108512 hypothetical protein 
vcn:VOLCADRAFT_108517 hypothetical protein 
vcn:VOLCADRAFT_108518 hypothetical protein 
vcn:VOLCADRAFT_108519 hypothetical protein 
vcn:VOLCADRAFT_108521 hypothetical protein 
vcn:VOLCADRAFT_108524 hypothetical protein 
vcn:VOLCADRAFT_108528 hypothetical protein 
vcn:VOLCADRAFT_108532 hypothetical protein 
vcn:VOLCADRAFT_108536 hypothetical protein 
vcn:VOLCADRAFT_108537 hypothetical protein 
vcn:VOLCADRAFT_108540 hypothetical protein 
vcn:VOLCADRAFT_108543 hypothetical protein 
vcn:VOLCADRAFT_108546 hypothetical protein 
vcn:VOLCADRAFT_108548 hypothetical protein 
vcn:VOLCADRAFT_108550 hypothetical protein 
